Date,Campaign Name,Total Unique Users,Total Visitors Completed,Impressions,Number of Clicks,Number of Conversions,Advertising Channel,Device Type,OS,Browser,Geographic Location,Start Time of Session,End Time of Session,Platform,Total Cost
2023-03-19,spring_campaign,1715,1035,4273,163,10,Social Media,Tablet,Android,Firefox,Winnipeg,2023-03-19 23:36:49,2023-03-20 01:36:49,YouTube,748
2023-01-09,winter_campaign,1857,641,4507,3220,1013,Search Engine,Desktop,iOS,Chrome,Quebec City,2023-01-09 05:45:37,2023-01-09 08:45:37,Google,827
2023-09-02,fall_campaign,993,709,1910,178,109,Email Marketing,Desktop,Windows,Firefox,Montreal,2023-09-02 15:59:04,2023-09-02 16:59:04,YouTube,417
2023-05-29,spring_campaign,1955,434,4776,1295,452,Email Marketing,Desktop,Android,Safari,Calgary,2023-05-29 08:17:34,2023-05-29 12:17:34,Google,130
2023-12-08,winter_campaign,919,837,2985,2288,1325,Social Media,Mobile,iOS,Firefox,Ottawa,2023-12-08 12:30:06,2023-12-08 14:30:06,YouTube,945
2023-02-13,winter_campaign,798,551,1708,812,447,Search Engine,Tablet,Android,Chrome,Vancouver,2023-02-13 13:59:03,2023-02-13 17:59:03,Google,276
2023-09-25,fall_campaign,544,479,1075,644,167,Search Engine,Tablet,iOS,Chrome,Ottawa,2023-09-25 13:29:30,2023-09-25 14:29:30,Google,489
2023-12-25,winter_campaign,1316,1212,4535,183,51,Email Marketing,Tablet,Android,Safari,Montreal,2023-12-25 10:50:49,2023-12-25 13:50:49,Google,226
2023-10-30,fall_campaign,1212,418,2285,983,857,Social Media,Mobile,iOS,Firefox,Edmonton,2023-10-30 22:42:54,2023-10-31 00:42:54,Facebook,538
2023-06-22,summer_campaign,583,404,3120,236,90,Search Engine,Tablet,Windows,Firefox,Quebec City,2023-06-22 14:26:49,2023-06-22 15:26:49,Google,249
2023-03-09,spring_campaign,1363,914,4430,2961,2403,Email Marketing,Tablet,Android,Chrome,Toronto,2023-03-09 07:54:44,2023-03-09 09:54:44,Google,189
2023-12-21,winter_campaign,1885,1457,3488,2584,1709,Social Media,Desktop,iOS,Safari,London,2023-12-21 11:42:39,2023-12-21 14:42:39,YouTube,482
2023-04-08,spring_campaign,1868,520,2220,393,57,Search Engine,Tablet,Android,Firefox,Montreal,2023-04-08 14:21:20,2023-04-08 15:21:20,Google,849
2023-01-07,winter_campaign,1446,1153,2518,2364,1704,Social Media,Tablet,Android,Firefox,Winnipeg,2023-01-07 13:14:31,2023-01-07 16:14:31,Facebook,108
2023-05-12,spring_campaign,1995,1647,3762,2238,2200,Email Marketing,Mobile,iOS,Chrome,Ottawa,2023-05-12 17:43:16,2023-05-12 18:43:16,Google,101
2023-07-07,summer_campaign,761,559,4079,3468,2345,Email Marketing,Mobile,Windows,Firefox,Calgary,2023-07-07 10:15:09,2023-07-07 14:15:09,YouTube,642
2024-01-01,winter_campaign,1752,810,2272,1221,347,Search Engine,Mobile,Android,Firefox,Quebec City,2024-01-01 11:29:06,2024-01-01 13:29:06,Google,915
2023-11-28,fall_campaign,1583,629,3196,522,462,Email Marketing,Desktop,iOS,Safari,Vancouver,2023-11-28 20:44:15,2023-11-28 21:44:15,YouTube,607
2023-07-21,summer_campaign,1201,1144,4389,202,168,Social Media,Desktop,iOS,Chrome,Toronto,2023-07-21 10:12:20,2023-07-21 11:12:20,Google,165
2023-01-23,winter_campaign,508,503,3237,2646,1906,Email Marketing,Mobile,Android,Chrome,Quebec City,2023-01-23 12:43:19,2023-01-23 16:43:19,Google,809
2023-12-30,winter_campaign,1008,624,4935,2537,534,Search Engine,Desktop,Windows,Safari,Montreal,2023-12-30 19:29:21,2023-12-31 00:29:21,Google,513
2023-05-02,spring_campaign,1728,1025,3763,3587,3527,Social Media,Desktop,iOS,Chrome,Hamilton,2023-05-02 06:00:20,2023-05-02 09:00:20,YouTube,688
2023-07-09,summer_campaign,1257,485,1648,51,19,Search Engine,Tablet,iOS,Chrome,Edmonton,2023-07-09 19:42:54,2023-07-09 22:42:54,Google,311
2023-06-20,summer_campaign,1329,853,1372,1296,1225,Search Engine,Tablet,iOS,Chrome,Edmonton,2023-06-20 07:08:32,2023-06-20 09:08:32,Google,738
2023-01-21,winter_campaign,1790,1250,1085,793,629,Email Marketing,Mobile,Android,Firefox,Hamilton,2023-01-21 02:04:08,2023-01-21 05:04:08,Google,999
2023-01-30,winter_campaign,1718,1281,1891,1719,1210,Search Engine,Desktop,Android,Chrome,Calgary,2023-01-30 15:54:12,2023-01-30 16:54:12,Google,365
2023-11-19,fall_campaign,1899,1705,2835,2697,1413,Social Media,Desktop,Android,Safari,Toronto,2023-11-19 02:49:05,2023-11-19 05:49:05,Google,795
2023-03-08,spring_campaign,1575,1255,3766,3751,1860,Email Marketing,Tablet,iOS,Chrome,Calgary,2023-03-08 06:05:43,2023-03-08 08:05:43,YouTube,290
2023-06-21,summer_campaign,1662,1403,3885,302,130,Email Marketing,Desktop,Windows,Firefox,Ottawa,2023-06-21 06:39:47,2023-06-21 07:39:47,YouTube,428
2023-08-13,summer_campaign,754,419,2880,1776,1694,Search Engine,Tablet,Android,Chrome,Calgary,2023-08-13 04:30:42,2023-08-13 08:30:42,YouTube,335
2023-03-06,spring_campaign,821,819,3723,424,204,Search Engine,Tablet,Windows,Firefox,Winnipeg,2023-03-06 04:08:47,2023-03-06 09:08:47,Google,729
2023-06-21,summer_campaign,1380,495,1677,1241,375,Email Marketing,Desktop,iOS,Chrome,Montreal,2023-06-21 22:21:26,2023-06-22 01:21:26,YouTube,259
2023-05-27,spring_campaign,717,422,3310,1630,120,Social Media,Tablet,iOS,Safari,Ottawa,2023-05-27 22:34:54,2023-05-28 01:34:54,Facebook,331
2023-01-27,winter_campaign,504,480,2883,1838,643,Search Engine,Tablet,iOS,Firefox,Ottawa,2023-01-27 14:03:37,2023-01-27 16:03:37,Google,790
2023-09-30,fall_campaign,1950,559,4116,234,223,Search Engine,Mobile,Android,Firefox,Calgary,2023-09-30 20:50:32,2023-09-30 23:50:32,YouTube,666
2023-06-10,summer_campaign,1174,978,4616,585,20,Search Engine,Mobile,iOS,Chrome,Hamilton,2023-06-10 17:46:34,2023-06-10 22:46:34,Facebook,328
2023-03-27,spring_campaign,527,450,1135,336,269,Search Engine,Tablet,Android,Chrome,Quebec City,2023-03-27 15:38:36,2023-03-27 17:38:36,Facebook,166
2023-09-21,fall_campaign,712,483,2088,722,208,Social Media,Desktop,iOS,Chrome,Edmonton,2023-09-21 20:31:37,2023-09-22 00:31:37,Google,984
2023-11-06,fall_campaign,1714,783,4064,978,243,Search Engine,Tablet,Windows,Chrome,Hamilton,2023-11-06 00:06:05,2023-11-06 01:06:05,Facebook,524
2023-10-10,fall_campaign,1384,943,2153,650,24,Social Media,Mobile,Windows,Safari,Calgary,2023-10-10 15:27:52,2023-10-10 19:27:52,Facebook,511
2023-10-07,fall_campaign,989,605,2451,424,281,Search Engine,Desktop,Windows,Safari,Hamilton,2023-10-07 12:28:00,2023-10-07 15:28:00,Facebook,951
2023-12-29,winter_campaign,1900,1484,3018,895,266,Social Media,Tablet,Android,Chrome,Hamilton,2023-12-29 00:13:36,2023-12-29 02:13:36,Google,918
2023-08-08,summer_campaign,1183,662,2373,594,72,Search Engine,Tablet,Android,Firefox,Montreal,2023-08-08 17:29:23,2023-08-08 22:29:23,Facebook,637
2023-02-06,winter_campaign,1721,524,2802,2124,1021,Social Media,Tablet,Windows,Firefox,Calgary,2023-02-06 05:29:36,2023-02-06 07:29:36,YouTube,967
2023-10-01,fall_campaign,1048,808,4125,2876,526,Email Marketing,Tablet,iOS,Safari,Winnipeg,2023-10-01 21:50:17,2023-10-02 02:50:17,YouTube,374
2023-10-11,fall_campaign,531,423,4568,1361,796,Search Engine,Desktop,Android,Chrome,Vancouver,2023-10-11 12:32:30,2023-10-11 15:32:30,Google,309
2023-03-08,spring_campaign,1744,551,2740,1173,835,Search Engine,Mobile,Windows,Firefox,Calgary,2023-03-08 23:49:06,2023-03-09 01:49:06,Google,487
2023-07-20,summer_campaign,664,517,2934,850,309,Search Engine,Tablet,Windows,Chrome,Vancouver,2023-07-20 12:35:36,2023-07-20 17:35:36,YouTube,359
2023-04-24,spring_campaign,1884,1316,2143,1471,928,Email Marketing,Tablet,Android,Safari,Hamilton,2023-04-24 16:16:21,2023-04-24 21:16:21,YouTube,477
2023-01-27,winter_campaign,943,571,3924,880,803,Social Media,Mobile,Android,Chrome,Toronto,2023-01-27 03:13:15,2023-01-27 08:13:15,Facebook,157
2023-11-01,fall_campaign,857,785,1199,344,133,Email Marketing,Desktop,Android,Safari,Calgary,2023-11-01 18:07:37,2023-11-01 22:07:37,Facebook,224
2023-12-15,winter_campaign,1482,798,2004,939,383,Social Media,Desktop,iOS,Safari,Toronto,2023-12-15 12:10:33,2023-12-15 16:10:33,YouTube,329
2023-03-24,spring_campaign,1498,486,4174,2365,1665,Search Engine,Mobile,Android,Chrome,Calgary,2023-03-24 21:51:16,2023-03-25 02:51:16,Facebook,178
2023-11-21,fall_campaign,1742,1005,2239,1646,528,Search Engine,Tablet,Android,Firefox,Winnipeg,2023-11-21 20:21:16,2023-11-21 23:21:16,YouTube,582
2023-05-09,spring_campaign,892,683,1713,483,237,Search Engine,Tablet,Android,Safari,London,2023-05-09 06:46:45,2023-05-09 10:46:45,YouTube,916
2023-02-17,winter_campaign,1293,817,1957,299,142,Social Media,Mobile,Windows,Chrome,Winnipeg,2023-02-17 08:45:02,2023-02-17 09:45:02,Google,674
2023-02-27,winter_campaign,1773,475,1874,260,187,Email Marketing,Mobile,iOS,Firefox,Montreal,2023-02-27 23:48:07,2023-02-28 01:48:07,YouTube,891
2023-02-26,winter_campaign,1333,792,1430,1282,659,Search Engine,Mobile,iOS,Chrome,London,2023-02-26 19:44:54,2023-02-26 21:44:54,Facebook,773
2023-05-12,spring_campaign,935,720,1735,234,155,Social Media,Desktop,iOS,Firefox,Ottawa,2023-05-12 09:34:51,2023-05-12 14:34:51,Facebook,748
2023-06-29,summer_campaign,1296,561,2057,627,432,Social Media,Tablet,Windows,Firefox,Ottawa,2023-06-29 12:31:22,2023-06-29 16:31:22,Google,892
2023-11-07,fall_campaign,914,728,2003,892,119,Social Media,Tablet,Android,Safari,London,2023-11-07 20:40:24,2023-11-07 21:40:24,Google,110
2023-02-19,winter_campaign,856,532,4853,820,373,Search Engine,Desktop,Windows,Safari,London,2023-02-19 13:02:09,2023-02-19 16:02:09,Google,216
2023-03-07,spring_campaign,1503,1013,1706,1619,1405,Search Engine,Desktop,Android,Safari,Montreal,2023-03-07 01:15:52,2023-03-07 06:15:52,Google,774
2023-01-24,winter_campaign,1692,1397,1313,663,241,Social Media,Desktop,Windows,Chrome,Winnipeg,2023-01-24 17:58:10,2023-01-24 22:58:10,Google,151
2023-12-14,winter_campaign,963,943,3934,693,238,Email Marketing,Desktop,Windows,Firefox,Edmonton,2023-12-14 05:34:37,2023-12-14 10:34:37,Facebook,587
2023-09-07,fall_campaign,1836,845,2461,2103,1326,Search Engine,Tablet,Android,Chrome,Hamilton,2023-09-07 05:16:52,2023-09-07 06:16:52,Facebook,205
2023-06-22,summer_campaign,1850,401,4874,202,44,Search Engine,Mobile,Windows,Safari,Vancouver,2023-06-22 21:59:28,2023-06-22 23:59:28,Google,968
2023-06-24,summer_campaign,870,582,1042,958,150,Email Marketing,Mobile,iOS,Chrome,Vancouver,2023-06-24 11:38:05,2023-06-24 14:38:05,Facebook,241
2023-03-13,spring_campaign,1164,952,2488,827,543,Social Media,Desktop,iOS,Firefox,Toronto,2023-03-13 00:09:05,2023-03-13 04:09:05,YouTube,735
2023-05-20,spring_campaign,1252,780,1993,1073,190,Search Engine,Mobile,Android,Chrome,Edmonton,2023-05-20 17:23:02,2023-05-20 20:23:02,Facebook,940
2023-11-05,fall_campaign,1699,495,4015,96,69,Search Engine,Desktop,iOS,Safari,Montreal,2023-11-05 06:55:53,2023-11-05 11:55:53,YouTube,679
2023-12-19,winter_campaign,765,446,1472,1080,141,Email Marketing,Tablet,Android,Chrome,Toronto,2023-12-19 02:42:54,2023-12-19 06:42:54,Google,437
2023-06-16,summer_campaign,1318,768,2325,462,99,Social Media,Mobile,Windows,Firefox,Vancouver,2023-06-16 16:54:17,2023-06-16 21:54:17,YouTube,753
2023-03-26,spring_campaign,1406,462,2333,1452,1099,Email Marketing,Tablet,Android,Safari,Hamilton,2023-03-26 10:50:29,2023-03-26 15:50:29,Google,201
2023-05-20,spring_campaign,1079,714,1683,1130,970,Search Engine,Desktop,Android,Firefox,London,2023-05-20 03:27:49,2023-05-20 06:27:49,YouTube,891
2023-02-09,winter_campaign,1043,431,2717,1018,730,Search Engine,Mobile,Android,Firefox,Vancouver,2023-02-09 20:28:41,2023-02-09 21:28:41,YouTube,361
2023-05-20,spring_campaign,1870,678,2614,1008,855,Email Marketing,Desktop,iOS,Safari,Ottawa,2023-05-20 11:34:27,2023-05-20 15:34:27,Google,878
2023-12-17,winter_campaign,973,692,1994,476,262,Social Media,Mobile,Android,Chrome,Vancouver,2023-12-17 02:52:55,2023-12-17 03:52:55,Google,609
2023-12-20,winter_campaign,609,529,2430,982,500,Social Media,Mobile,Windows,Firefox,Edmonton,2023-12-20 06:53:22,2023-12-20 11:53:22,YouTube,838
2023-12-07,winter_campaign,988,973,2558,2090,1854,Search Engine,Desktop,Windows,Safari,Toronto,2023-12-07 01:46:44,2023-12-07 03:46:44,Facebook,702
2023-01-05,winter_campaign,864,422,4446,3533,375,Search Engine,Mobile,Windows,Chrome,Winnipeg,2023-01-05 11:11:04,2023-01-05 14:11:04,Facebook,546
2023-04-29,spring_campaign,1863,539,1370,1364,430,Social Media,Desktop,Windows,Firefox,Calgary,2023-04-29 04:24:26,2023-04-29 06:24:26,YouTube,597
2023-04-15,spring_campaign,1607,806,4995,3171,2696,Email Marketing,Tablet,iOS,Firefox,Hamilton,2023-04-15 15:17:51,2023-04-15 18:17:51,Facebook,410
2023-04-13,spring_campaign,584,539,4915,4028,64,Social Media,Tablet,Android,Safari,Edmonton,2023-04-13 02:59:53,2023-04-13 05:59:53,Facebook,640
2023-03-23,spring_campaign,838,590,4330,3550,2942,Search Engine,Tablet,Android,Chrome,Quebec City,2023-03-23 04:42:37,2023-03-23 07:42:37,YouTube,419
2023-10-24,fall_campaign,1557,808,3241,1593,1538,Search Engine,Mobile,Windows,Chrome,London,2023-10-24 11:15:48,2023-10-24 13:15:48,Facebook,267
2023-04-07,spring_campaign,1713,991,2022,1379,317,Search Engine,Tablet,iOS,Firefox,London,2023-04-07 19:00:41,2023-04-07 21:00:41,Facebook,249
2023-10-19,fall_campaign,1451,764,3106,3032,1353,Social Media,Tablet,iOS,Chrome,Ottawa,2023-10-19 06:27:10,2023-10-19 07:27:10,YouTube,731
2023-01-13,winter_campaign,940,774,2049,836,93,Search Engine,Mobile,Windows,Safari,Ottawa,2023-01-13 01:10:25,2023-01-13 05:10:25,YouTube,491
2023-05-12,spring_campaign,632,556,1307,259,91,Search Engine,Desktop,iOS,Safari,Quebec City,2023-05-12 04:35:53,2023-05-12 05:35:53,Google,280
2023-03-05,spring_campaign,1379,1127,2763,649,43,Search Engine,Tablet,iOS,Firefox,Ottawa,2023-03-05 21:49:50,2023-03-06 01:49:50,Google,366
2023-12-19,winter_campaign,841,475,1893,205,99,Email Marketing,Tablet,Android,Safari,Calgary,2023-12-19 19:18:58,2023-12-19 23:18:58,Google,829
2023-12-06,winter_campaign,1965,568,3732,3538,187,Search Engine,Mobile,Android,Firefox,Montreal,2023-12-06 19:37:47,2023-12-06 22:37:47,Google,274
2023-11-12,fall_campaign,894,847,3781,270,59,Social Media,Mobile,Windows,Safari,Ottawa,2023-11-12 04:20:41,2023-11-12 05:20:41,Facebook,745
2023-01-20,winter_campaign,1897,404,3524,2606,647,Social Media,Mobile,Windows,Firefox,London,2023-01-20 03:22:20,2023-01-20 06:22:20,YouTube,246
2023-01-11,winter_campaign,1388,519,2057,1428,1381,Social Media,Tablet,Android,Chrome,Montreal,2023-01-11 04:45:42,2023-01-11 06:45:42,YouTube,775
2023-08-30,summer_campaign,782,671,3590,251,79,Social Media,Desktop,Windows,Firefox,London,2023-08-30 18:00:28,2023-08-30 23:00:28,Google,441
2023-07-25,summer_campaign,655,573,2824,125,9,Social Media,Desktop,Windows,Chrome,Edmonton,2023-07-25 00:21:37,2023-07-25 04:21:37,Facebook,226
2023-05-13,spring_campaign,1301,870,2935,1937,51,Search Engine,Desktop,iOS,Firefox,Vancouver,2023-05-13 03:58:05,2023-05-13 08:58:05,Google,238
2023-04-09,spring_campaign,767,436,3090,2051,68,Email Marketing,Tablet,Windows,Firefox,Quebec City,2023-04-09 02:06:00,2023-04-09 03:06:00,Google,491
2023-06-27,summer_campaign,1615,1381,2302,1305,1248,Email Marketing,Desktop,Windows,Safari,Winnipeg,2023-06-27 15:37:26,2023-06-27 18:37:26,Google,564
2023-03-21,spring_campaign,1356,729,1468,430,277,Social Media,Mobile,iOS,Chrome,Ottawa,2023-03-21 21:56:39,2023-03-21 22:56:39,Google,177
2023-08-26,summer_campaign,1837,1528,1875,1304,181,Social Media,Tablet,iOS,Chrome,Edmonton,2023-08-26 21:28:09,2023-08-27 00:28:09,Google,703
2023-03-11,spring_campaign,1522,586,2756,1972,1810,Social Media,Desktop,Android,Chrome,London,2023-03-11 22:45:20,2023-03-12 01:45:20,YouTube,332
2023-12-16,winter_campaign,1948,880,3893,3757,2304,Search Engine,Desktop,iOS,Chrome,Vancouver,2023-12-16 01:19:11,2023-12-16 03:19:11,YouTube,557
2023-03-10,spring_campaign,1434,1107,2429,1474,390,Search Engine,Tablet,Windows,Chrome,Hamilton,2023-03-10 14:56:48,2023-03-10 19:56:48,YouTube,628
2023-07-15,summer_campaign,893,495,4630,3401,1645,Email Marketing,Desktop,iOS,Safari,Winnipeg,2023-07-15 03:37:52,2023-07-15 07:37:52,YouTube,978
2023-06-26,summer_campaign,777,706,2314,1202,564,Email Marketing,Mobile,Android,Chrome,Vancouver,2023-06-26 09:23:36,2023-06-26 14:23:36,Facebook,763
2023-07-27,summer_campaign,1114,1075,3180,2761,1862,Email Marketing,Tablet,iOS,Firefox,Toronto,2023-07-27 06:45:25,2023-07-27 07:45:25,Google,573
2023-08-18,summer_campaign,1018,754,2865,93,92,Search Engine,Tablet,iOS,Firefox,Vancouver,2023-08-18 10:28:10,2023-08-18 12:28:10,Facebook,894
2023-03-20,spring_campaign,907,875,1090,437,75,Search Engine,Tablet,Android,Safari,London,2023-03-20 14:37:47,2023-03-20 17:37:47,Google,615
2023-12-25,winter_campaign,1970,456,3319,1736,70,Search Engine,Mobile,iOS,Firefox,Vancouver,2023-12-25 11:52:57,2023-12-25 14:52:57,Google,234
2023-04-21,spring_campaign,1737,885,1854,1765,604,Email Marketing,Mobile,Windows,Firefox,Calgary,2023-04-21 00:55:51,2023-04-21 02:55:51,Google,144
2023-12-23,winter_campaign,1952,774,4213,2387,1825,Email Marketing,Mobile,Windows,Chrome,Ottawa,2023-12-23 03:55:23,2023-12-23 07:55:23,Google,840
2023-08-19,summer_campaign,1405,803,4108,2217,1901,Social Media,Tablet,Android,Chrome,Quebec City,2023-08-19 19:03:47,2023-08-19 21:03:47,YouTube,242
2023-03-17,spring_campaign,1399,891,4171,3322,2986,Search Engine,Tablet,Windows,Firefox,Vancouver,2023-03-17 19:38:25,2023-03-17 20:38:25,Google,719
2023-09-17,fall_campaign,728,435,1704,561,491,Email Marketing,Desktop,Android,Safari,Montreal,2023-09-17 04:23:25,2023-09-17 06:23:25,YouTube,586
2023-08-02,summer_campaign,950,570,3604,793,76,Social Media,Tablet,Android,Safari,Ottawa,2023-08-02 04:59:08,2023-08-02 06:59:08,Facebook,297
2023-12-25,winter_campaign,1198,663,2651,1849,439,Search Engine,Desktop,Android,Safari,Ottawa,2023-12-25 04:43:41,2023-12-25 06:43:41,Google,790
2023-01-25,winter_campaign,944,607,1713,1031,532,Social Media,Mobile,Windows,Safari,Quebec City,2023-01-25 17:23:59,2023-01-25 18:23:59,YouTube,589
2023-04-26,spring_campaign,1354,805,1921,1831,844,Email Marketing,Desktop,iOS,Safari,Edmonton,2023-04-26 03:27:14,2023-04-26 06:27:14,Google,574
2023-05-21,spring_campaign,593,517,4479,188,19,Social Media,Mobile,iOS,Firefox,Hamilton,2023-05-21 05:19:42,2023-05-21 06:19:42,Google,793
2023-06-24,summer_campaign,1429,660,1607,1096,367,Email Marketing,Mobile,iOS,Firefox,Hamilton,2023-06-24 11:27:11,2023-06-24 16:27:11,YouTube,285
2023-07-24,summer_campaign,1096,713,3281,642,557,Search Engine,Desktop,Android,Firefox,Toronto,2023-07-24 07:41:23,2023-07-24 09:41:23,YouTube,604
2023-05-02,spring_campaign,1915,1213,1613,157,117,Email Marketing,Tablet,Android,Safari,Calgary,2023-05-02 06:19:04,2023-05-02 11:19:04,Facebook,191
2023-05-26,spring_campaign,1215,783,4783,3277,1668,Social Media,Tablet,Windows,Chrome,Hamilton,2023-05-26 12:03:55,2023-05-26 14:03:55,YouTube,662
2023-01-03,winter_campaign,866,684,3527,1637,787,Email Marketing,Mobile,Android,Chrome,Quebec City,2023-01-03 03:52:28,2023-01-03 05:52:28,Google,510
2023-08-16,summer_campaign,1240,768,1570,322,215,Search Engine,Mobile,Android,Safari,Quebec City,2023-08-16 17:41:56,2023-08-16 21:41:56,Google,251
2023-04-03,spring_campaign,1357,937,4933,1435,207,Social Media,Mobile,Windows,Safari,Montreal,2023-04-03 03:01:44,2023-04-03 06:01:44,YouTube,921
2023-11-04,fall_campaign,1367,1009,3414,657,83,Email Marketing,Desktop,Windows,Chrome,Ottawa,2023-11-04 09:19:59,2023-11-04 10:19:59,Google,834
2023-07-30,summer_campaign,1051,629,1077,723,182,Search Engine,Mobile,iOS,Firefox,Vancouver,2023-07-30 15:18:05,2023-07-30 17:18:05,Facebook,580
2023-11-12,fall_campaign,683,617,4649,1088,781,Search Engine,Mobile,Android,Safari,Winnipeg,2023-11-12 13:26:51,2023-11-12 18:26:51,Google,879
2023-02-22,winter_campaign,1481,1028,2818,822,273,Email Marketing,Desktop,iOS,Safari,Montreal,2023-02-22 15:03:28,2023-02-22 16:03:28,Google,961
2023-02-01,winter_campaign,528,454,4097,1016,732,Social Media,Desktop,Android,Safari,Hamilton,2023-02-01 13:32:13,2023-02-01 14:32:13,Google,959
2023-07-24,summer_campaign,910,870,4056,1985,456,Social Media,Desktop,Android,Firefox,Edmonton,2023-07-24 06:05:35,2023-07-24 09:05:35,Google,561
2023-05-10,spring_campaign,1684,1548,1897,393,285,Search Engine,Desktop,iOS,Firefox,Winnipeg,2023-05-10 12:01:24,2023-05-10 15:01:24,Facebook,496
2023-11-23,fall_campaign,809,759,2282,1538,352,Social Media,Mobile,iOS,Safari,Winnipeg,2023-11-23 09:34:43,2023-11-23 11:34:43,Facebook,546
2023-05-04,spring_campaign,1193,773,4549,1731,188,Search Engine,Tablet,iOS,Chrome,Vancouver,2023-05-04 14:00:52,2023-05-04 15:00:52,Google,627
2023-06-21,summer_campaign,1744,1654,4834,3666,811,Search Engine,Tablet,Windows,Chrome,London,2023-06-21 20:25:38,2023-06-22 00:25:38,YouTube,391
2023-11-28,fall_campaign,1343,486,1232,1108,173,Social Media,Desktop,iOS,Safari,Calgary,2023-11-28 12:58:33,2023-11-28 13:58:33,YouTube,918
2023-04-18,spring_campaign,1934,840,4739,3402,1831,Social Media,Tablet,iOS,Chrome,Hamilton,2023-04-18 03:02:47,2023-04-18 06:02:47,YouTube,113
2023-10-08,fall_campaign,801,517,4518,3520,221,Email Marketing,Mobile,iOS,Firefox,London,2023-10-08 12:06:18,2023-10-08 14:06:18,Google,475
2023-08-23,summer_campaign,1068,682,2138,1610,431,Email Marketing,Tablet,iOS,Firefox,Vancouver,2023-08-23 18:21:08,2023-08-23 23:21:08,Facebook,777
2023-07-06,summer_campaign,1935,766,3697,1403,1251,Social Media,Desktop,iOS,Firefox,London,2023-07-06 20:12:07,2023-07-07 00:12:07,Google,956
2023-01-20,winter_campaign,1894,1856,3105,967,309,Search Engine,Tablet,Android,Firefox,Winnipeg,2023-01-20 01:02:32,2023-01-20 06:02:32,YouTube,774
2023-08-04,summer_campaign,800,679,2074,1027,58,Email Marketing,Desktop,iOS,Chrome,Edmonton,2023-08-04 14:18:25,2023-08-04 15:18:25,Google,775
2023-06-17,summer_campaign,675,553,1715,348,34,Search Engine,Mobile,iOS,Chrome,Ottawa,2023-06-17 22:47:02,2023-06-18 02:47:02,Facebook,444
2023-04-14,spring_campaign,1248,1116,2872,2353,110,Social Media,Desktop,Windows,Firefox,Montreal,2023-04-14 23:16:21,2023-04-15 02:16:21,YouTube,875
2023-10-19,fall_campaign,668,584,2135,2016,504,Social Media,Tablet,iOS,Firefox,Winnipeg,2023-10-19 01:52:47,2023-10-19 04:52:47,Google,791
2023-10-29,fall_campaign,830,502,1200,1076,791,Search Engine,Desktop,Android,Firefox,Edmonton,2023-10-29 13:50:47,2023-10-29 16:50:47,YouTube,559
2023-01-16,winter_campaign,1445,579,4653,2558,1262,Social Media,Tablet,iOS,Chrome,Winnipeg,2023-01-16 19:19:26,2023-01-17 00:19:26,Facebook,698
2023-02-28,winter_campaign,1750,1142,1942,1126,692,Email Marketing,Desktop,Android,Firefox,Hamilton,2023-02-28 08:42:10,2023-02-28 13:42:10,Facebook,167
2023-04-06,spring_campaign,1244,1118,2710,1178,728,Search Engine,Mobile,iOS,Firefox,London,2023-04-06 04:06:20,2023-04-06 09:06:20,YouTube,130
2023-01-28,winter_campaign,1102,1008,3854,1431,775,Search Engine,Mobile,Windows,Safari,Calgary,2023-01-28 19:07:11,2023-01-28 22:07:11,Google,955
2023-04-08,spring_campaign,1463,926,3171,1999,1174,Search Engine,Desktop,Windows,Chrome,Toronto,2023-04-08 17:06:49,2023-04-08 19:06:49,YouTube,882
2023-07-31,summer_campaign,749,461,4717,1816,1425,Social Media,Mobile,iOS,Firefox,Vancouver,2023-07-31 15:15:37,2023-07-31 20:15:37,Facebook,687
2023-12-11,winter_campaign,780,663,3741,2772,905,Social Media,Mobile,Android,Safari,Winnipeg,2023-12-11 11:23:58,2023-12-11 13:23:58,YouTube,506
2023-06-19,summer_campaign,1868,1057,2789,267,17,Email Marketing,Mobile,Windows,Safari,Toronto,2023-06-19 21:27:58,2023-06-20 00:27:58,YouTube,425
2023-07-18,summer_campaign,862,799,2398,1043,199,Email Marketing,Tablet,Android,Safari,Quebec City,2023-07-18 23:26:35,2023-07-19 03:26:35,YouTube,973
2023-07-11,summer_campaign,1472,1462,3068,1446,1437,Social Media,Tablet,Android,Safari,Quebec City,2023-07-11 23:30:33,2023-07-12 03:30:33,Facebook,429
2023-09-04,fall_campaign,1130,819,4418,2327,1831,Social Media,Desktop,Windows,Chrome,Vancouver,2023-09-04 23:01:02,2023-09-05 03:01:02,YouTube,624
2023-07-01,summer_campaign,819,658,3051,1795,497,Search Engine,Desktop,iOS,Safari,Hamilton,2023-07-01 12:09:57,2023-07-01 16:09:57,Facebook,195
2023-04-11,spring_campaign,1974,657,2370,2314,991,Social Media,Tablet,Android,Safari,Toronto,2023-04-11 09:42:48,2023-04-11 10:42:48,YouTube,285
2023-04-24,spring_campaign,1777,788,4075,1452,266,Search Engine,Tablet,Android,Chrome,Hamilton,2023-04-24 07:57:00,2023-04-24 12:57:00,Google,518
2023-06-17,summer_campaign,1756,1221,4838,3336,2562,Social Media,Desktop,Android,Safari,Vancouver,2023-06-17 00:46:20,2023-06-17 03:46:20,Facebook,461
2023-09-26,fall_campaign,1589,1371,1229,479,295,Search Engine,Mobile,Android,Firefox,Winnipeg,2023-09-26 20:08:53,2023-09-26 23:08:53,YouTube,144
